transaction_id,timestamp,customer_id,customer_email_domain,customer_ip_country,billing_country,shipping_country,payment_method,card_type,transaction_amount,currency,item_category,item_name,item_quantity,item_unit_price,account_age_days,is_billing_shipping_mismatch,transaction_hour,device_type,browser,is_fraud
f0b810b2-2361-42f1-a618-ccb758c6e776,2025-12-22 12:07:05,CUST-003992,gmail.com,JP,JP,JP,gift_card,,20.06,USD,beauty,Moisturizer,1,20.06,30,0,12,desktop,edge,0
5b71de3c-7d3a-41ec-97c3-e25c5da8525e,2025-03-29 08:19:39,CUST-002565,gmail.com,ES,ES,ES,credit_card,discover,45.95,USD,sports,Fitness Tracker,1,45.95,221,0,8,mobile,firefox,0
485d5dbe-b4ef-4c62-99aa-6739c6a05a72,2026-01-01 00:50:42,CUST-002556,hotmail.com,BR,BR,BR,gift_card,,23.0,USD,sports,Foam Roller,1,23.0,36,0,0,tablet,chrome,0
eaa17048-4331-492c-9fee-4cebd045866d,2025-10-19 09:33:21,CUST-002408,gmail.com,US,US,US,credit_card,mastercard,41.62,USD,home,LED Desk Lamp,1,41.62,61,0,9,tablet,safari,0
1ff7ba40-e611-47c9-8a50-86abbdfa8c59,2025-08-29 16:26:30,CUST-002969,yahoo.com,DE,DE,DE,credit_card,mastercard,40.67,USD,clothing,Yoga Pants,1,40.67,109,0,16,tablet,safari,0
6eb72582-64bb-4215-b001-580e96bb3e3c,2025-08-07 19:37:56,CUST-002217,yahoo.com,BR,BR,BR,credit_card,amex,13.04,USD,home,Scented Candle,1,13.04,8,0,19,tablet,firefox,0
aed29527-b617-4727-91ee-13ef26653cb6,2025-03-30 16:15:32,CUST-003356,aol.com,US,US,US,credit_card,mastercard,253.65,USD,electronics,Bluetooth Speaker,3,84.55,606,0,16,mobile,firefox,0
ac54a14c-59e2-4857-9b08-2713b383a506,2026-02-05 19:30:44,CUST-002834,yopmail.com,IT,IT,IT,credit_card,amex,479.94,USD,electronics,Noise-Cancelling Headphones,2,239.97,104,0,19,mobile,firefox,0
8f5ff416-eb25-4ba3-a607-c2ead63562ff,2025-04-23 07:29:56,CUST-003233,hotmail.com,ES,DE,DE,debit_card,mastercard,92.19,USD,electronics,Portable Charger,3,30.73,53,0,7,desktop,edge,0
7b943327-9279-45d2-9ae2-53197ece62ac,2025-08-17 17:51:47,CUST-001540,yahoo.com,US,US,US,credit_card,visa,41.53,USD,home,LED Desk Lamp,1,41.53,36,0,17,mobile,edge,0
739ada70-1450-417b-989c-ad32758d954c,2025-06-08 22:40:37,CUST-003739,gmail.com,US,US,US,paypal,,80.76,USD,gaming,RGB Mousepad,3,26.92,163,0,22,tablet,firefox,0
0e8c71a5-a929-49ea-ae90-0f8e9f8a73b0,2025-08-21 21:54:35,CUST-001008,gmail.com,CA,CA,CA,credit_card,visa,34.14,USD,electronics,USB-C Hub,1,34.14,70,0,21,desktop,safari,0
